From_ID,Origin,To_ID,Destination,Time
KJ28,Subang Jaya,KJ6,Jelatek,46
KJ29,SS 15,KJ6,Jelatek,50
KJ30,SS 18,KJ6,Jelatek,52
KJ31,USJ 7 (KJL),KJ6,Jelatek,55
KJ32,Taipan,KJ6,Jelatek,56
KJ33,Wawasan,KJ6,Jelatek,59
KJ34,USJ 21,KJ6,Jelatek,61
KJ35,Alam Megah,KJ6,Jelatek,64
KJ36,Subang Alam,KJ6,Jelatek,67
KJ37,Putra Heights (KJL),KJ6,Jelatek,71
KG4,Sungai Buloh,KJ6,Jelatek,49
KG5,Kampung Selamat,KJ6,Jelatek,46
KG5A,Kwasa Damansara,KJ6,Jelatek,41
KG6,Kwasa Sentral,KJ6,Jelatek,39
KG7,Kota Damansara,KJ6,Jelatek,35
KG8,Surian,KJ6,Jelatek,33
KG9,Mutiara Damansara,KJ6,Jelatek,31
KG10,Bandar Utama,KJ6,Jelatek,29
KG12,TTDI,KJ6,Jelatek,25
KG12A,Phileo Damansara,KJ6,Jelatek,21
KG13,Pusat Bandar Damansara,KJ6,Jelatek,50
KG14,Semantan,KJ6,Jelatek,47
KG15,Muzium Negara,KJ6,Jelatek,42
KG16,Pasar Seni (SBK),KJ6,Jelatek,40
KG17,Merdeka,KJ6,Jelatek,36
KG18A,Bukit Bintang,KJ6,Jelatek,34
KG20,Tun Razak Exchange (TRX),KJ6,Jelatek,32
KG21,Cochrane,KJ6,Jelatek,30
KG22,Maluri (SBK),KJ6,Jelatek,26
KG23,Taman Pertama,KJ6,Jelatek,22
KG24,Taman Midah,KJ6,Jelatek,51
KG25,Taman Mutiara,KJ6,Jelatek,48
KG26,Taman Connaught,KJ6,Jelatek,43
KG27,Taman Suntex,KJ6,Jelatek,41
KG28,Sri Raya,KJ6,Jelatek,37
KG29,Bandar Tun Hussein Onn,KJ6,Jelatek,35
KG30,Batu 11 Cheras,KJ6,Jelatek,33
KG31,Bukit Dukung,KJ6,Jelatek,31
KG33,Sungai Jernih,KJ6,Jelatek,27
KG34,Stadium Kajang,KJ6,Jelatek,23
KG35,Kajang,KJ6,Jelatek,52
KJ1,Gombak,KJ7,Dato' Keramat,18
KJ2,Taman Melati,KJ7,Dato' Keramat,15
KJ3,Wangsa Maju,KJ7,Dato' Keramat,11
KJ4,Sri Rampai,KJ7,Dato' Keramat,9
KJ5,Setiawangsa,KJ7,Dato' Keramat,3
KJ6,Jelatek,KJ7,Dato' Keramat,1
KJ7,Dato' Keramat,KJ7,Dato' Keramat,0
KJ8,Damai,KJ7,Dato' Keramat,1
KJ9,Ampang Park,KJ7,Dato' Keramat,3
KJ10,KLCC,KJ7,Dato' Keramat,4
KJ11,Kampung Baru,KJ7,Dato' Keramat,6
KJ12,Dang Wangi,KJ7,Dato' Keramat,8
KJ13,Masjid Jamek (KJL),KJ7,Dato' Keramat,10
KJ14,Pasar Seni (KJL),KJ7,Dato' Keramat,11
KJ15,KL Sentral (KJL),KJ7,Dato' Keramat,14
KJ16,Bangsar,KJ7,Dato' Keramat,16
KJ17,Abdullah Hukum,KJ7,Dato' Keramat,19
KJ18,Kerinchi,KJ7,Dato' Keramat,20
KJ19,Universiti,KJ7,Dato' Keramat,22
KJ20,Taman Jaya,KJ7,Dato' Keramat,26
KJ21,Asia Jaya,KJ7,Dato' Keramat,28
KJ22,Taman Paramount,KJ7,Dato' Keramat,31
KJ23,Taman Bahagia,KJ7,Dato' Keramat,34
KJ24,Kelana Jaya,KJ7,Dato' Keramat,36
KJ25,Lembah Subang,KJ7,Dato' Keramat,39
KJ26,Ara Damansara,KJ7,Dato' Keramat,41
KJ27,Glenmarie,KJ7,Dato' Keramat,44
KJ28,Subang Jaya,KJ7,Dato' Keramat,45
KJ29,SS 15,KJ7,Dato' Keramat,49
KJ30,SS 18,KJ7,Dato' Keramat,51
KJ31,USJ 7 (KJL),KJ7,Dato' Keramat,54
KJ32,Taipan,KJ7,Dato' Keramat,55
KJ33,Wawasan,KJ7,Dato' Keramat,58
KJ34,USJ 21,KJ7,Dato' Keramat,60
KJ35,Alam Megah,KJ7,Dato' Keramat,63
KJ36,Subang Alam,KJ7,Dato' Keramat,66
KJ37,Putra Heights (KJL),KJ7,Dato' Keramat,70
KG4,Sungai Buloh,KJ7,Dato' Keramat,47
KG5,Kampung Selamat,KJ7,Dato' Keramat,44
KG5A,Kwasa Damansara,KJ7,Dato' Keramat,39
KG6,Kwasa Sentral,KJ7,Dato' Keramat,37
KG7,Kota Damansara,KJ7,Dato' Keramat,33
KG8,Surian,KJ7,Dato' Keramat,31
KG9,Mutiara Damansara,KJ7,Dato' Keramat,29
KG10,Bandar Utama,KJ7,Dato' Keramat,27
KG12,TTDI,KJ7,Dato' Keramat,23
KG12A,Phileo Damansara,KJ7,Dato' Keramat,19
KG13,Pusat Bandar Damansara,KJ7,Dato' Keramat,48
KG14,Semantan,KJ7,Dato' Keramat,45
KG15,Muzium Negara,KJ7,Dato' Keramat,40
KG16,Pasar Seni (SBK),KJ7,Dato' Keramat,38
KG17,Merdeka,KJ7,Dato' Keramat,34
KG18A,Bukit Bintang,KJ7,Dato' Keramat,32
KG20,Tun Razak Exchange (TRX),KJ7,Dato' Keramat,30
KG21,Cochrane,KJ7,Dato' Keramat,28
KG22,Maluri (SBK),KJ7,Dato' Keramat,24
KG23,Taman Pertama,KJ7,Dato' Keramat,20
KG24,Taman Midah,KJ7,Dato' Keramat,49
KG25,Taman Mutiara,KJ7,Dato' Keramat,46
KG26,Taman Connaught,KJ7,Dato' Keramat,41
KG27,Taman Suntex,KJ7,Dato' Keramat,39
KG28,Sri Raya,KJ7,Dato' Keramat,35
KG29,Bandar Tun Hussein Onn,KJ7,Dato' Keramat,33
KG30,Batu 11 Cheras,KJ7,Dato' Keramat,31
