From_ID,Origin,To_ID,Destination,Fare
KJ17,Abdullah Hukum,KJ7,Dato' Keramat,3
KJ18,Kerinchi,KJ7,Dato' Keramat,3.1
KJ19,Universiti,KJ7,Dato' Keramat,3.3
KJ20,Taman Jaya,KJ7,Dato' Keramat,3.2
KJ21,Asia Jaya,KJ7,Dato' Keramat,3.4
KJ22,Taman Paramount,KJ7,Dato' Keramat,3.6
KJ23,Taman Bahagia,KJ7,Dato' Keramat,3.2
KJ24,Kelana Jaya,KJ7,Dato' Keramat,3.4
KJ25,Lembah Subang,KJ7,Dato' Keramat,3.5
KJ26,Ara Damansara,KJ7,Dato' Keramat,3.6
KJ27,Glenmarie,KJ7,Dato' Keramat,3.8
KJ28,Subang Jaya,KJ7,Dato' Keramat,3.2
KJ29,SS 15,KJ7,Dato' Keramat,3.4
KJ30,SS 18,KJ7,Dato' Keramat,3.5
KJ31,USJ 7 (KJL),KJ7,Dato' Keramat,3.6
KJ32,Taipan,KJ7,Dato' Keramat,3.7
KJ33,Wawasan,KJ7,Dato' Keramat,3.9
KJ34,USJ 21,KJ7,Dato' Keramat,3.9
KJ35,Alam Megah,KJ7,Dato' Keramat,4.1
KJ36,Subang Alam,KJ7,Dato' Keramat,4.3
KJ37,Putra Heights (KJL),KJ7,Dato' Keramat,4.4
KG4,Sungai Buloh,KJ7,Dato' Keramat,4.8
KG5,Kampung Selamat,KJ7,Dato' Keramat,5.4
KG5A,Kwasa Damansara,KJ7,Dato' Keramat,5.1
KG6,Kwasa Sentral,KJ7,Dato' Keramat,5
KG7,Kota Damansara,KJ7,Dato' Keramat,5.1
KG8,Surian,KJ7,Dato' Keramat,4.9
KG9,Mutiara Damansara,KJ7,Dato' Keramat,5
KG10,Bandar Utama,KJ7,Dato' Keramat,4.7
KG12,TTDI,KJ7,Dato' Keramat,4.4
KG12A,Phileo Damansara,KJ7,Dato' Keramat,4.4
KG13,Pusat Bandar Damansara,KJ7,Dato' Keramat,3.8
KG14,Semantan,KJ7,Dato' Keramat,3.6
KG15,Muzium Negara,KJ7,Dato' Keramat,2.8
KG16,Pasar Seni (SBK),KJ7,Dato' Keramat,2.5
KG17,Merdeka,KJ7,Dato' Keramat,2.5
KG18A,Bukit Bintang,KJ7,Dato' Keramat,2.8
KG20,Tun Razak Exchange (TRX),KJ7,Dato' Keramat,3.2
KG21,Cochrane,KJ7,Dato' Keramat,3.5
KG22,Maluri (SBK),KJ7,Dato' Keramat,3.5
